method,condition,mAP,ci95_low,ci95_high,n_total_queries,n_evaluable_queries
TF-IDF,M0,0.157407407407407,0.137430555555556,0.179732510288066,1079,180
"MedCPT, train-only projection",M0,0.0471655186633529,0.030828317893938,0.0656233067947688,1079,180
"BioLORD-2023, train-only projection",M0,0.0399775830187795,0.0245380734284905,0.0561711407238402,1079,180
Projected BiomedBERT,M0,0.0331559485612371,0.0195855403520395,0.0484728174556147,1079,180
"BioLORD-2023, unaligned",M0,0.0177034383722301,0.0084863048316338,0.0309432446639205,1079,180
BiomedBERT,M0,0.0091964830096395,0.0059822786323913,0.0133339474198027,1079,180
"MedCPT, unaligned",M0,0.0091521399621658,0.0051355981785355,0.0150741500477295,1079,180
"CellCLIP M0, WELL_MEAN",M0,0.0076215629461227,0.005192930603268,0.0106820160853633,1079,180
"CellCLIP M0, WELL_ATTENTION",M0,0.006999551150854,0.0043647323501224,0.0097775429312338,1079,180
